Reaction	Flux
R_CITtcp	9.927473458310604e-09
R_13BGH	0.028141389701089474
R_13BGHe	6.2442981164721565e-09
R_13GS	0.03340108971810641
R_16GS	3.3212323737813162e-21
R_23CAPPD	0.0
R_2DDA7Ptm	-0.019603650267578376
R_2DHPtm	0.0016193726397188968
R_2DOXG6PP	0.0
R_2HBO	-0.0012898531178627826
R_2HBt2	-0.0012898531178627826
R_2HMHMBQMTm	0.0
R_2HP6MPMOm	0.0
R_2HPMBQMTm	0.0
R_2HPMMBQMOm	0.0
R_2MBACt	0.010302970544686733
R_EX_epistest_SC_e	0.0
R_EX_epist_e	0.0
R_2MBALDt	0.00023263936751105607
R_2MBALDtm	0.008979669409446278
R_2MBTOHt	0.13844242899791182
R_ACACT6p	1.597785093356278e-07
R_2MBTOHtm	-0.008979669409446278
R_ACACT7p	1.7975533886481417e-07
R_2MPPALt	0.0004041525769929999
R_ACACT8p	1.9970782663769326e-07
R_ACACT9p	1.9893388358070955e-08
R_ACALDCD	0.21385872067004685
R_ACALDt	-0.03014355253138823
R_ACALDtm	-0.1640539110837611
R_ACCOAC	0.0021192203541828825
R_ACCOACrm	8.797402895055484e-08
R_AGAT_SC	0.0017636609613039768
R_AGPRim	0.10394420670574529
R_AGTi	0.010965699514364994
R_AHCYStm	0.0
R_ACCOAtn	0.013720145542573614
R_2MPPALtm	0.011560571189176416
R_ACESt	0.022340664177512026
R_ACGAM6PS	-5.551115123125783e-17
R_AHCi	0.025255418503808448
R_AHMMPS	9.845295320805122e-09
R_AHSERL	0.0
R_AHSERL2	0.03327343811969415
R_ACGAMPM	-5.551115123125783e-17
R_ACGKm	0.10394420670574529
R_2OBUTtm	0.13767983905743408
R_ACGSm	1.374153184575803e-18
R_2OXOADPtim	0.002475773570428407
R_ACHBSm	0.15016630191739958
R_ACHLE1	0.0024459573345871847
R_2PHETOHt	-0.051443899862420595
R_ACHLE2	0.0016261173047874818
R_ACHLE3	0.0008741480865410023
R_ACLSm	0.2435601858943708
R_2PHETOHtm	0.0035930973014680623
R_ACOAHim	0.00036089123041887903
R_34HPLFM	9.95668238929359e-09
R_ACOAO4p	1.397816883511712e-07
R_AICART	0.004387112705749985
R_AIRCr	0.00047577134401288745
R_AKGDam	0.0017422779579193692
R_AKGDbm	0.001742277957919414
R_ACOAO5p	1.4978012996505815e-07
R_ACOAO6p	1.597785081511743e-07
R_ACOAO7p	1.7975533768467337e-07
R_ACOAO8p	1.997078254996161e-07
R_ACOAO9p	1.9893387203010642e-08
R_AKGMAL	-6.0207710595228114e-05
R_AKGt2n	0.0
R_AKGt2r	-6.029053489886582e-05
R_34HPPOR	2.0853890869354775e-19
R_AKGtp	9.234522035939108e-09
R_AKP1	0.0
R_ALASm	9.53217753792621e-09
R_ALATA_L	-0.3540187393086738
R_ALATA_Lm	-0.04456303880975099
R_ACOATA	0.0
R_ACOATAm	0.0
R_ACON3MT	0.0
R_ALATRS	1.8011923402416965e-21
R_34HPPt2m	0.008011449324073494
R_ALAt2r	-0.4018221277164553
R_ALAtmi	0.04456303880975096
R_ACONT	0.024601591097558106
R_ACONT3m	0.0010925124346915505
R_ACONTm	0.03940136260666871
R_ACOTAim	0.10394420670574529
R_ALCD19y	5.7846098938397245e-09
R_ALCD22xi	0.13729109347513577
R_ALCD22xim	0.00897966940944626
R_34HPPt2p	1.9302324960612793e-08
R_ALCD22yi	0.0024746366580165368
R_ALCD23xi	0.17746292561776456
R_ALCD23xim	0.011560571189176482
R_ALCD23yi	0.0020092689811915107
R_ALCD24xi	0.04148419444872947
R_ALCD24xim	0.002739821347844936
R_ACP1e	9.7930356588477e-09
R_ACPSm	0.003420882619399464
R_ACRNtm	0.027870185472276352
R_ACRNtp	7.186711448098507e-07
R_ACS	0.14992364569691702
R_ACSm	0.030995353924546318
R_ACSp	0.0
R_ACt2r	0.012054189613158878
R_ALCD24yi	0.0004696862588302802
R_ALCD25xi	0.05447616529583163
R_ALCD25xim	0.0035930973014680727
R_ALCD25yi	0.0006167843650841536
R_ACtm	-0.0400981437935759
R_3C3HMPt	4.697186861690739e-09
R_ACtp	-9.998651351317278e-09
R_ACtr	-0.023790510429370818
R_ADA	0.01302488697780668
R_ADCL	0.00036003057022311233
R_ALCD26xi	0.6758431941321708
R_ALCD26xim	0.04198870268234564
R_ALCD2x_copy1	0.36207117263846417
R_ALCD2ir	1.4745032752786373
R_ALCD2irm	0.09332130459605767
R_ADCS	0.00036003057022311233
R_3C3HMPtm	-0.04547349492052988
R_ADD	0.013527396477954728
R_ADEt2	9.905256318237955e-09
R_ADEtm	0.0
R_ADHAPR_SC	0.0016667210238905973
R_ADK1	0.3505767223891687
R_ADK1m	-0.008821000267663526
R_ADK3	-0.011511252229576385
R_ALCD2x_copy2	0.31589250237817523
R_ALDD19xr	9.182723418310938e-21
R_ALDD20xm	0.0
R_ALDD20y	4.038126125280904e-09
R_ALDD20ym	5.105157704923697e-09
R_ALDD22x	0.003799044336851609
R_ALDD2xm	0.00025321742257043304
R_ALDD2y	0.0733646438708393
R_ALDD2ym	0.07047938906513293
R_ADK3m	0.039816373277501316
R_ADK4	0.09091995917702755
R_ADK4m	0.0
R_ADMDC	0.005857230002622168
R_ADNCYC	0.0004245665116612805
R_ADNK1	0.09504620176376916
R_ADNUC	0.028778354149104773
R_ALLTAHr	1.963439816288215e-08
R_ALLTN	9.793281307429735e-09
R_ALLTNti	9.793281307687685e-09
R_ALLTTti	9.841116820178359e-09
R_ADNt2	9.919810513092067e-09
R_3C4MOPtm	0.0
R_ADPT	0.0008268532873725762
R_ADSK	0.19157520788106622
R_ALPHNH	1.6563487609164897e-08
R_AMAOTr	0.0
R_ADSL1r	0.05220737934184272
R_AMETt2	9.938925213341426e-09
R_3DH5HPBMTm	0.0
R_AMETtm	0.0
R_AMID	8.801304511502926e-22
R_AMID2	0.0
R_AMID3	7.588190610548606e-21
R_ADSL2r	0.00047577134401288745
R_ADSS	0.052207379341842546
R_AMPN	0.0824785137068211
R_AMPDA	0.008162986425457134
R_3DH5HPBtm	0.0
R_AMPtn	0.0
R_ANPRT	0.016315571380389957
R_ATPS3v	1.5466717499058582e-18
R_3DSPHR	0.0
R_ATPtm_H	0.23094242690731723
R_ATPtp_H	1.4001038033043078e-07
R_ANS	0.0
R_AOBUTDs	1.8391621626238863e-08
R_AP4AH	0.0015518089040775923
R_APRTO2	0.002884664091555347
R_ARAB14LO	0.0
R_BACCL	7.619704233858802e-20
R_3HAO	1.69670544472994e-05
R_ARAB1D2	1.7244752905302034e-20
R_ARABR	9.773624869312696e-09
R_3HPH5MBDCm	0.0
R_ARAB_Dt	0.0
R_ARAB_Lt	9.773624909392709e-09
R_ARGN	5.468960146686187e-05
R_BPNT	0.19499610034367715
R_BTDD_RR	-0.34442093584597056
R_BTDt_RR	0.34442093584597056
R_3IPM3MT	0.0
R_BTNt2i	0.0
R_BTSr	0.0
R_C14STR	0.0002993755447655075
R_C22STDS	6.651226622929783e-06
R_C22STDSx	0.0002858405934942865
R_C24STRer	0.00029248225228862293
R_C3STDH1	0.00029937554476550766
R_ARGSL	0.0007995110328798405
R_ARGSS	0.000799511032879785
R_ARGTRS	1.5949046212777215e-20
R_ARGTRSm	1.618616170117563e-20
R_ARGt2m	0.0
R_ARGt2r	9.193132921581082e-09
R_ARGt6	2.848632581021993e-20
R_ARMT	0.0
R_ASAD	-0.20297129536565672
R_C3STDH2	0.00029937554476550777
R_C3STKR1	0.0002993755447655077
R_C3STKR2	0.00029937554476550777
R_ASNN	0.00011094056039587942
R_C4STMO1	0.00029937554476550766
R_ASNNe	0.0009754974824894656
R_C4STMO2	0.00029937554476550777
R_ASNS1	0.0015584322637417925
R_3MBALDt	1.8250086157078904e-05
R_ASNTRS	5.431817701817197e-21
R_ASNTRSm	5.669561590212249e-21
R_C5STDS	0.00029249182011721635
R_C8STI	0.0002924723695200502
R_ASNt2m	0.0
R_ASNt2r	-0.0009761209845136065
R_3MBALDtm	0.002739821347845006
R_ASNt6	0.02734720187631732
R_ASNt7	0.02734720187631732
R_CAT	0.0010068942632734583
R_CATp	8.792444641854453e-07
R_ASPCT	0.00486017085605223
R_3MOBDC	0.19143691836512555
R_ASPGLU2m	0.0009654739927863275
R_ASPGLUtp	-6.929512519349146e-10
R_ASPK	0.20297129536565672
