Reaction	Flux
R_CITtcp	9.945142792188583e-09
R_13BGH	0.027385836457892786
R_13BGHe	5.548015639282145e-09
R_13GS	0.033877770509293886
R_16GS	1.612648799659686e-20
R_23CAPPD	0.0
R_2DDA7Ptm	-0.02333796222061424
R_2DHPtm	0.000435371951009067
R_2DOXG6PP	0.0
R_2HBO	-0.0024087222579425305
R_2HBt2	-0.0024087222579425305
R_2HMHMBQMTm	5.796114883593811e-17
R_2HP6MPMOm	5.777569741582667e-17
R_2HPMBQMTm	5.789874090357524e-17
R_2HPMMBQMOm	5.797243948591162e-17
R_2MBACt	0.016472428495052673
R_EX_epistest_SC_e	0.0
R_EX_epist_e	0.0
R_2MBALDt	0.0001552418706998182
R_2MBALDtm	0.004241704785394762
R_2MBTOHt	0.14385892767389974
R_ACACT6p	1.5981275927032067e-07
R_2MBTOHtm	-0.004241704785394762
R_ACACT7p	1.7979113937973408e-07
R_2MPPALt	0.0002975121789123847
R_ACACT8p	1.9974725987775407e-07
R_ACACT9p	1.9900446954064745e-08
R_ACALDCD	0.30650064470413113
R_ACALDt	-0.04447116672763951
R_ACALDtm	-0.18173285993006427
R_ACCOAC	0.002514089839989242
R_ACCOACrm	8.756582220437181e-08
R_AGAT_SC	0.002171819263642123
R_AGPRim	0.0941528705168123
R_AGTi	0.0025416151176148997
R_AHCYStm	-1.1102230246251565e-16
R_ACCOAtn	0.022753432409660213
R_2MPPALtm	0.005688421234205765
R_ACESt	0.034760521105664084
R_ACGAM6PS	-2.7755575615628914e-17
R_AHCi	0.016126923736415555
R_AHMMPS	9.884326351448964e-09
R_AHSERL	1.1454113155318819e-20
R_AHSERL2	0.01852331897222762
R_ACGAMPM	-2.7755575615628914e-17
R_ACGKm	0.0941528705168123
R_2OBUTtm	0.16128135960115608
R_ACGSm	0.0
R_2OXOADPtim	0.002149847298614108
R_ACHBSm	0.16172379031754286
R_ACHLE1	0.003508020030331745
R_2PHETOHt	-0.04336684036054761
R_ACHLE2	0.0019501286530481975
R_ACHLE3	0.0010807885888969371
R_ACLSm	0.25080094781898415
R_2PHETOHtm	0.0014395542968587138
R_ACOAHim	0.00017073862573240852
R_34HPLFM	9.955921651320348e-09
R_ACOAO4p	1.3981617772778126e-07
R_AICART	0.004116927496825573
R_AIRCr	0.0005680622977952687
R_AKGDam	0.0004169594748953953
R_AKGDbm	0.00041695947489540366
R_ACOAO5p	1.4981450358579077e-07
R_ACOAO6p	1.5981275130328706e-07
R_ACOAO7p	1.7979113154536142e-07
R_ACOAO8p	1.9974725202254453e-07
R_ACOAO9p	1.9900439142119202e-08
R_AKGMAL	-5.961548017485718e-05
R_AKGt2n	0.0
R_AKGt2r	-5.979869005556804e-05
R_34HPPOR	6.991835454959423e-19
R_AKGtp	9.33090238408596e-09
R_AKP1	0.0
R_ALASm	9.513587762944042e-09
R_ALATA_L	-0.49935714178869084
R_ALATA_Lm	-0.019985108852151934
R_ACOATA	0.0
R_ACOATAm	-2.7755575615628914e-17
R_ACON3MT	0.0
R_ALATRS	7.135900570361576e-21
R_34HPPt2m	0.00829609986960278
R_ALAt2r	-0.5177780196858834
R_ALAtmi	0.019985108852151934
R_ACONT	0.0610420066886711
R_ACONT3m	0.0013055673467505802
R_ACONTm	0.042235119293470014
R_ACOTAim	0.0941528705168123
R_ALCD19y	5.754928510529655e-09
R_ALCD22xi	0.15518382490022375
R_ALCD22xim	0.004241704785394756
R_34HPPt2p	1.9257457406496314e-08
R_ALCD22yi	0.0009058264833338864
R_ALCD23xi	0.20855377161077762
R_ALCD23xim	0.005688421234205767
R_ALCD23yi	0.0010113804236170831
R_ALCD24xi	0.028662251616785882
R_ALCD24xim	0.000787406205143189
R_ACP1e	9.791311330509966e-09
R_ACPSm	0.0015975408152418184
R_ACRNtm	0.0409405531146619
R_ACRNtp	7.187826300722784e-07
R_ACS	0.19211685178436066
R_ACSm	0.07587321525551406
R_ACSp	0.0
R_ACt2r	-0.13170076061538757
R_ALCD24yi	0.00013899100633313715
R_ALCD25xi	0.052450862447288284
R_ALCD25xim	0.0014395542968587513
R_ALCD25yi	0.0002543546006953892
R_ACtm	-0.0003781336449552031
R_3C3HMPt	-4.216341498164411e-09
R_ACtp	-9.998578298642258e-09
R_ACtr	0.11674857064977906
R_ADA	0.0058657793838876445
R_ADCL	0.0006237898973025297
R_ALCD26xi	0.9114163117351237
R_ALCD26xim	0.02419452476125494
R_ALCD2x_copy1	2.003412028568954
R_ALCD2ir	2.883894139071962
R_ALCD2irm	0.10565224965532738
R_ADCS	0.0006237898973025297
R_3C3HMPtm	-0.029839870461554674
R_ADD	0.0060411930234196744
