0.02	87.74
0.04	87.98
0.05	88.28
0.07	88.55
0.09	88.86
0.10	89.23
0.12	89.47
0.14	89.77
0.15	90.04
0.17	90.28
0.19	90.65
0.20	90.96
0.22	91.13
0.24	91.26
0.25	91.40
0.27	91.53
0.29	91.67
0.30	91.84
0.32	91.91
0.34	92.04
0.35	92.11
0.37	92.28
0.39	92.35
0.40	92.45
0.42	92.58
0.44	92.65
0.45	92.75
0.47	92.79
0.49	92.89
0.50	92.96
0.52	92.96
0.54	92.85
0.55	92.96
0.57	93.02
0.59	92.99
0.60	93.02
0.62	93.13
0.64	93.19
0.65	93.13
0.67	93.16
0.69	93.19
0.70	93.19
0.72	93.23
0.74	93.23
0.75	93.26
0.77	93.29
0.79	93.29
0.80	93.29
0.82	93.33
0.84	93.29
0.85	93.29
0.87	93.33
0.89	93.29
0.90	93.40
0.92	93.33
0.94	93.40
0.95	93.40
0.97	93.36
0.99	93.36
1.00	93.33
1.02	93.26
1.04	93.26
1.05	93.23
1.07	93.23
1.09	93.23
1.10	93.16
1.12	93.19
1.14	93.29
1.15	93.16
1.17	93.19
1.19	93.23
1.20	93.19
1.22	93.19
1.24	93.23
1.25	93.23
1.27	93.16
1.29	93.09
1.30	93.09
1.32	93.13
1.34	93.09
1.35	93.09
1.37	93.09
1.39	93.06
1.40	93.02
1.42	93.09
1.44	93.09
1.45	93.06
1.47	93.09
1.49	93.02
1.50	93.02
1.52	93.06
1.54	93.02
1.55	92.99
1.57	93.09
1.59	93.09
1.60	93.06
1.62	92.99
1.64	93.09
1.65	93.06
1.67	93.09
1.69	93.09
1.70	93.09
1.72	93.02
1.74	93.09
1.75	93.09
1.77	93.09
1.79	93.06
1.80	93.09
1.82	93.13
1.84	93.13
1.85	93.09
1.87	93.09
1.89	93.06
1.90	93.09
1.92	93.06
1.94	93.02
1.95	93.02
1.97	92.99
1.99	92.99
2.00	92.96
2.02	92.92
2.04	92.92
2.05	92.92
2.07	92.89
2.09	92.82
2.10	92.82
2.12	92.89
2.14	92.82
2.15	92.85
2.17	92.85
2.19	92.89
2.20	92.82
2.22	92.85
2.24	92.85
2.25	92.89
2.27	92.79
2.29	92.79
2.30	92.72
2.32	92.75
2.34	92.72
2.35	92.72
2.37	92.69
2.39	92.72
2.40	92.69
2.42	92.75
2.44	92.65
2.45	92.72
2.47	92.72
2.49	92.72
2.50	92.72
2.52	92.75
2.54	92.79
2.55	92.79
2.57	92.82
2.59	92.79
2.60	92.72
2.62	92.79
2.64	92.79
2.65	92.79
2.67	92.79
2.69	92.75
2.70	92.72
2.72	92.75
2.74	92.75
2.75	92.75
2.77	92.75
2.79	92.79
2.80	92.79
2.82	92.79
2.84	92.72
2.85	92.72
2.87	92.69
2.89	92.65
2.90	92.65
2.92	92.62
2.94	92.62
2.95	92.62
2.97	92.58
2.99	92.58
3.00	92.58
3.02	92.52
3.04	92.52
3.05	92.48
3.07	92.45
3.09	92.48
3.10	92.48
3.12	92.52
3.14	92.48
3.15	92.48
3.17	92.48
3.19	92.48
3.20	92.48
3.22	92.45
3.24	92.48
3.25	92.45
3.27	92.41
3.29	92.41
3.30	92.41
3.32	92.45
3.34	92.41
3.35	92.41
3.37	92.41
3.39	92.35
3.40	92.35
3.42	92.35
