gene_id,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
R0010W,2891.6987291571145,2651.767317411996,2238.5342180524403,2279.430497579712,2219.6233163839183,2218.5039509055287,2340.882813108717,2398.7744722728203,2720.7980871903223,2573.865899071481,2709.9740916518936,3332.814768225259,2664.5636516455806,3564.4644035947285,2930.0477150789025
R0020C,16084.345230261912,15855.08113819452,14537.126001030285,13688.831402982723,13115.88136380057,12449.70262827516,13460.6449029779,12816.52899127818,13937.087019445167,12773.38009702068,14703.565465256685,14648.35081979417,14926.90971866065,17151.382851259274,15591.566121867812
R0030W,12778.991291663657,12322.72274762183,11443.374361351072,10705.116898896656,10458.077326178576,10609.947386322428,10983.267465198134,10292.177650264572,11006.448271093772,10369.05585326263,11985.056022135012,12520.64318616582,12270.213134761267,13952.011836711985,12369.839448726763
R0040C,15505.849974953257,15563.031387575003,15368.790923285447,15163.54087051953,15770.403148829031,15081.00944836828,15917.548147057032,15187.112737915311,15507.836046194498,15139.51089095537,15289.659599514202,14599.993828120812,15795.847551545277,14872.751743300909,14612.358191230596
YAL069W,84.75266509226286,81.06323876510704,81.12527561331042,66.1414545240755,74.67124650311884,105.48483780045017,111.47061014803414,75.6024005684276,70.28643504909475,71.72916186337457,72.55048749304278,82.7159068097143,88.0983803150707,83.26691329152099,83.33684516061521
YAL068W-A,96.41587588477609,98.83052397389764,90.02288648702833,78.38987202853393,90.26194632245137,117.11308763672024,138.7695350822465,93.54195324568155,80.4728749112824,81.04463743004659,93.8888661674672,108.16695505885713,104.42663145236727,102.48235482033355,106.0650756589648
YAL068C,114.2994657666297,107.71416657829292,123.51977448220154,135.95743429948848,114.05827762564311,113.790730540643,131.9448038486934,129.4210586001895,117.14405841515804,136.00594327341156,116.6498034201866,118.3473743585142,138.0703845871529,94.47592084999502,107.95909486716064
YAL067W-A,76.97719123058731,72.17959616071171,92.63983086165116,95.53765653477568,82.05631483859216,82.22833812790991,86.44659562500598,88.4163667664661,84.54745085615758,103.4017787900594,79.66328038451762,76.35314474742856,102.32422691098432,73.65919252711477,73.8667491196362
YAL067C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YAL066W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YAL065C,242.5947844842751,240.96880564422227,290.4808255831435,269.4651850980853,230.5782446964439,293.1980137288102,261.6146972862024,254.99792734096744,256.69828452712903,285.0535523401638,254.6379855147972,277.41642591565704,255.00165027081795,222.5788643754121,240.54043944086663
YAL064W-B,242.5947844842751,240.96880564422227,290.4808255831435,269.4651850980853,230.5782446964439,293.1980137288102,261.6146972862024,254.99792734096744,256.69828452712903,285.0535523401638,254.6379855147972,277.41642591565704,255.00165027081795,222.5788643754121,240.54043944086663
YAL064C-A,41.9875588530476,36.64502574313058,41.87110999396664,48.99367001783367,32.00196278705094,37.37651733086813,25.024014523028068,46.13027831293889,33.615251545219266,36.33035471002089,39.83164019225879,34.35891513634285,35.99554865249483,46.43731702796368,35.986364955720205
YAL064W,16.32849510951853,12.215008581043511,6.280666499094992,9.79873400356672,11.487884077402894,9.136482014212204,13.649462467106224,16.658156057450142,10.186439862187669,13.041665793340831,11.38046862635966,13.99807653702857,10.23810726092057,17.61415473474484,15.152153665566402
YAL063C-A,24.88151635736155,28.87183846428468,24.59927712145541,25.72167675936268,22.155205006419877,24.91767822057876,29.573835345396816,21.783742536665567,28.52203161412544,24.220236473347263,27.028612987604195,24.17849583668568,21.948035910130756,40.03216985169282,43.562441788503406
YAL063C,71.53435952741448,53.30185562637178,54.43244299215666,66.14145452407544,59.08054668378632,70.60008829163979,72.79713315789981,62.78843437038899,69.26779106287603,79.18154231671221,46.94443308373353,75.08059233497139,75.53690038555159,65.65275855677625,58.714595454069816
YAL062W,281.47215379265253,279.8347420384518,317.6970470792219,331.93211437082346,295.4027334189317,308.1486206611573,259.3397868750182,258.8421172003792,276.0525202652853,288.77974256683274,271.7086884543368,323.2283127641141,298.9119335156347,283.4277625499852,280.3148428129784
YAL061W,867.7428829629844,891.6956264161777,919.0708643675682,864.7382758147653,791.0228750440273,769.9562570158824,671.0985712993887,713.7379172307492,684.5287587390104,698.6606675004018,779.5621009056371,890.7866887200005,836.140598457691,726.9842045067414,884.5069702274399
YAL060W,729.3394482251603,800.6382897211261,784.5599235119503,744.703784271073,726.1983863215397,732.5797396850153,762.0949877467641,793.1845076585869,790.4677333057614,816.0356596404704,802.3230381583555,848.7924591089151,782.4909899046063,651.7237251855593,710.2572030734246
YAL059C-A,246.48252141511284,228.7537970631789,199.93455022119065,224.1460403315893,328.22525935436875,303.9956742910609,309.3878159210743,289.5956360756717,316.798279714036,283.19045722682955,253.2154269365023,258.32813972879995,224.57935373804855,246.59816628642776,232.96436260808343
YAL059W,320.34952310103006,323.14249973487887,301.9953808314844,297.6365453583398,414.3843899348905,428.5840653939547,429.95806771384576,388.2631758005688,401.3457305701936,377.2767604502169,375.5554646698686,391.9461430368,331.9780508161058,312.250924843204,303.04307331132804
YAL058W,443.9795575016705,464.17032607965376,440.6934326864985,458.09081466674513,487.4145101412377,523.2712426321536,498.2053800493773,481.80512904625016,489.9677573712261,437.82735163358535,438.1480421148464,427.5776105856002,456.0719797836715,443.5564419567569,465.9287252161672
