2micron	0	136
2micron	100	286
2micron	200	646
2micron	300	1414
2micron	400	1142
2micron	500	851
2micron	600	980
2micron	700	1025
2micron	800	806
2micron	900	831
2micron	1000	1075
2micron	1100	1455
2micron	1200	2159
2micron	1300	2327
2micron	1400	2048
2micron	1500	1927
2micron	1600	440
2micron	1700	676
2micron	1800	5014
2micron	1900	10122
2micron	2000	9230
2micron	2100	4160
2micron	2200	2355
2micron	2300	2194
2micron	2400	2147
2micron	2500	1584
2micron	2600	1607
2micron	2700	1507
2micron	2800	1139
2micron	2900	1439
2micron	3000	1428
2micron	3100	714
2micron	3200	815
2micron	3300	1188
2micron	3400	1143
2micron	3500	1411
2micron	3600	1655
2micron	3700	1553
2micron	3800	1123
2micron	3900	431
2micron	4000	309
2micron	4100	282
2micron	4200	893
2micron	4300	2113
2micron	4400	2535
2micron	4500	4589
2micron	4600	4742
2micron	4700	7152
2micron	4800	5707
2micron	4900	839
2micron	5000	405
2micron	5100	1786
2micron	5200	2917
2micron	5300	1544
2micron	5400	1100
2micron	5500	828
2micron	5600	1021
2micron	5700	1286
2micron	5800	1419
2micron	5900	2427
2micron	6000	3597
2micron	6100	5823
2micron	6200	4014
2micron	6300	426
chrI	0	2
chrI	100	11
chrI	200	10
chrI	300	17
chrI	400	28
chrI	500	6
chrI	600	3
chrI	700	9
chrI	800	10
chrI	900	11
chrI	1000	3
chrI	1100	5
chrI	1200	10
chrI	1300	11
chrI	1400	11
chrI	1600	3
chrI	1700	6
chrI	1800	15
chrI	1900	11
chrI	2000	3
chrI	2100	26
chrI	2200	6
chrI	2400	5
chrI	2600	7
chrI	2700	2
chrI	11700	3
chrI	11800	31
chrI	11900	7
chrI	12000	15
chrI	12100	11
chrI	12200	10
chrI	12300	28
chrI	12400	13
chrI	12500	21
chrI	12800	1
chrI	12900	9
chrI	13000	10
chrI	13100	14
chrI	13200	3
chrI	13300	3
chrI	13700	7
chrI	13800	7
chrI	13900	18
chrI	14000	11
chrI	14100	10
chrI	14200	3
chrI	14300	2
chrI	14400	7
chrI	14500	13
chrI	15000	6
chrI	15100	14
chrI	15200	6
chrI	15300	2
chrI	15400	10
chrI	15600	2
chrI	15700	9
chrI	15800	11
chrI	15900	2
chrI	16000	3
chrI	16200	1
chrI	16300	9
chrI	16400	6
chrI	16600	3
chrI	16700	2
chrI	16800	1
chrI	16900	9
chrI	17000	2
chrI	17100	18
chrI	17200	1
chrI	17300	1
chrI	17400	10
chrI	17500	2
chrI	17600	1
chrI	17700	11
chrI	17800	2
chrI	17900	3
chrI	18000	13
chrI	18100	6
chrI	18200	6
chrI	18300	7
chrI	18600	3
chrI	18700	18
chrI	18800	42
chrI	18900	15
chrI	19000	59
chrI	19200	13
chrI	19300	25
chrI	19400	47
chrI	19500	19
chrI	19600	21
chrI	19700	3
chrI	19800	9
chrI	19900	3
chrI	20000	5
chrI	20100	6
chrI	20200	3
chrI	20300	9
chrI	20400	9
chrI	20500	21
chrI	20600	17
chrI	20700	2
chrI	20800	23
chrI	20900	3
chrI	21000	3
chrI	21100	1
chrI	21200	2
chrI	21300	6
chrI	21500	1
chrI	21600	17
chrI	21700	11
chrI	21800	1
chrI	21900	25
chrI	22000	14
chrI	22100	11
chrI	22200	1
chrI	22300	3
chrI	22400	2
chrI	22600	3
chrI	22700	9
chrI	22800	34
chrI	22900	18
chrI	23000	36
chrI	23100	34
chrI	23200	9
chrI	23300	23
chrI	23400	5
chrI	23500	26
chrI	23600	43
chrI	23700	23
chrI	23900	10
chrI	24000	86
chrI	24100	63
chrI	24200	51
chrI	24300	1
chrI	24400	26
chrI	24500	27
chrI	24600	27
chrI	24700	18
chrI	24800	22
chrI	24900	11
chrI	25000	17
chrI	25100	6
chrI	25200	9
chrI	25300	13
chrI	25400	32
chrI	25500	9
chrI	25600	19
chrI	25700	6
chrI	25900	1
chrI	26000	7
chrI	26100	3
chrI	26200	13
chrI	26300	1
chrI	26400	1
chrI	26500	1
chrI	26800	1
chrI	26900	2
chrI	27000	17
chrI	27100	2
chrI	27200	25
chrI	27300	44
chrI	27400	14
chrI	27500	5
chrI	27600	7
chrI	27700	2
chrI	27800	10
chrI	27900	15
chrI	28000	18
chrI	28100	9
chrI	28200	19
chrI	28300	26
chrI	28400	10
chrI	28500	17
chrI	28600	13
chrI	28700	11
chrI	28800	10
chrI	28900	27
chrI	29000	9
chrI	29100	26
chrI	29200	15
chrI	29300	15
chrI	29400	5
chrI	29500	11
chrI	29600	34
chrI	29700	64
chrI	29800	15
chrI	29900	1
chrI	30000	11
chrI	30100	46
chrI	30200	81
chrI	30300	11
chrI	30400	43
chrI	30500	59
chrI	30600	10
chrI	30700	57
chrI	30800	82
chrI	30900	90
chrI	31000	59
chrI	31100	100
chrI	31200	100
chrI	31300	67
chrI	31400	81
chrI	31500	32
chrI	31600	57
chrI	31700	84
chrI	31800	53
chrI	31900	43
chrI	32000	27
chrI	32100	23
chrI	32200	44
chrI	32300	40
chrI	32400	25
chrI	32500	51
chrI	32600	57
chrI	32700	28
chrI	32800	50
chrI	32900	42
chrI	33000	26
chrI	33100	9
chrI	33200	19
chrI	33300	13
chrI	33400	18
chrI	33500	31
chrI	33600	34
chrI	33700	38
chrI	33800	30
chrI	33900	19
chrI	34000	21
chrI	34100	23
chrI	34200	30
chrI	34300	44
chrI	34400	46
chrI	34500	53
chrI	34600	50
chrI	34700	67
chrI	34800	73
chrI	34900	86
chrI	35000	106
chrI	35100	81
chrI	35200	59
chrI	35300	67
chrI	35400	51
chrI	35500	39
chrI	35600	46
chrI	35700	38
chrI	35800	44
chrI	35900	53
chrI	36000	35
chrI	36100	71
chrI	36200	125
chrI	36300	111
chrI	36400	76
chrI	36500	114
chrI	36600	165
chrI	36700	169
chrI	36800	171
chrI	36900	82
chrI	37000	89
chrI	37100	101
chrI	37200	109
chrI	37300	40
chrI	37400	94
chrI	37500	128
chrI	37600	88
chrI	37700	94
chrI	37800	34
chrI	37900	26
chrI	38000	32
chrI	38100	30
chrI	38200	15
chrI	38300	17
chrI	38400	23
chrI	38500	14
chrI	38600	13
chrI	38700	17
chrI	38800	28
